threshold,precision,recall,f1
0.6000000000000001,0.4951167728237792,0.2287620168726702,0.31293612453032743
0.6100000000000001,0.5036798528058878,0.214832254267216,0.301196534176867
0.6200000000000001,0.5098335854765507,0.1983519717480871,0.28559322033898304
0.6300000000000001,0.5176954732510288,0.18510888758092997,0.2727075655755474
0.6400000000000001,0.5274491962390051,0.17059054345693545,0.25780149729449264
0.6500000000000001,0.5312920592193809,0.15489503629586032,0.23986024608840953
0.6600000000000001,0.5386346586646662,0.1408671767706494,0.22332814930015552
0.6700000000000002,0.5507976490344249,0.12870315872081617,0.20865139949109415
0.6800000000000002,0.55597903763697,0.11447910535609182,0.18986415032945578
0.6900000000000002,0.5625335480407944,0.10280557190504218,0.17384092228580908
0.7000000000000002,0.569060773480663,0.09093584461447911,0.15681299162649073
0.7100000000000002,0.5826827537260468,0.08053757112026683,0.1415151253986038
0.7200000000000001,0.6025210084033613,0.07033549146556799,0.12596626844694309
0.7300000000000001,0.6021825396825397,0.05954483029232882,0.10837350473129798
0.7400000000000001,0.6114421930870083,0.05032371983519718,0.0929937460346234
0.7500000000000001,0.6211901306240929,0.041985481655876004,0.0786547826885969
0.7600000000000001,0.6218487394957983,0.036295860309986265,0.06858837705069978
0.7700000000000001,0.6189516129032258,0.03011575436531293,0.05743685687558466
0.7800000000000001,0.6240601503759399,0.02442613301942319,0.04701217785329935
0.7900000000000001,0.6304347826086957,0.019913674710614088,0.038607835678965384
0.8000000000000002,0.6589147286821705,0.016676476358642337,0.032529659395331034
0.8100000000000002,0.6542056074766355,0.01373356876594075,0.026902382782475018
0.8200000000000002,0.6987951807228916,0.011379242691779479,0.022393822393822392
0.8300000000000002,0.7107438016528925,0.00843633509907789,0.016674745516238487
0.8400000000000002,0.6708860759493671,0.005199136747106141,0.010318310133359291
0.8500000000000002,0.5964912280701754,0.0033352952717284677,0.006633499170812604
0.8600000000000002,0.6097560975609756,0.002452422993917991,0.004885197850512946
0.8700000000000001,0.6,0.0014714537963507945,0.0029357079949114393
0.8800000000000001,0.7857142857142857,0.001079066117323916,0.0021551724137931034
0.8900000000000001,0.7777777777777778,0.0006866784382970375,0.0013721454474174262
0.9000000000000001,0.6666666666666666,0.00019619383951343929,0.00039227223693243113
0.9100000000000001,0.0,0.0,0.0
0.9200000000000002,0.0,0.0,0.0
0.9300000000000002,0.0,0.0,0.0
0.9400000000000002,0.0,0.0,0.0
